url,naziv,cijena,lokacija,lat lng
https://www.olx.ba/artikal/31277920/lux-dom-prodaje-tibra-38-m2/,LUX DOM/ Prodaje: TIBRA 38 m2,75.000 KM,Ilidža,"https://maps.google.com/maps?ll=43.831406,18.300211&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31450617/lux-dom-prodaje-hrasno-53m2/,LUX DOM /Prodaje: HRASNO 53m2,114.500 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.85406,18.392567&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31265861/stan-naselje-bulevar-novogradnja-66m2/,"Stan, Naselje Bulevar - novogradnja, 66m2",2.000 KM,Ilidža,"https://maps.google.com/maps?ll=43.840167,18.321755&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31265624/dvosoban-stan-naselje-bulevar-51m2/,"Dvosoban Stan, Naselje Bulevar, 51m2",102.660 KM,Ilidža,"https://maps.google.com/maps?ll=43.840144,18.321894&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30276881/prostor-prodaje-adaptiran-cetverosoban-stan-ciglane/,"PROSTOR prodaje: Adaptiran četverosoban stan, Ciglane",275.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.865696,18.409729&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31451612/my-space-stan-alipasino-polje-trg-solidarnosti-68-m2/,MY SPACE/ Stan/Alipasino polje/Trg solidarnosti/68 m2,110.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.846278,18.350079&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31180721/my-space-stan-vogosca-spasoje-blagovcanina-59-m2/,MY SPACE/ Stan/ Vogosca/ Spasoje Blagovcanina/ 59 m2,76.000 KM,Vogošća,"https://maps.google.com/maps?ll=43.901718,18.338746&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31484368/my-space-stan-kosevo-patriotske-lige-renoviran-62-m2/,MY SPACE/ Stan/ Kosevo/ Patriotske lige/RENOVIRAN/62 m2,149.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.871389,18.412046&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30164577/my-space-stan-sa-garazom-bjelave-renoviran-55-m2/,MY SPACE/ Stan sa garazom/ Bjelave/ RENOVIRAN/ 55 m2,153.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.864397,18.418135&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31215742/my-space-stan-hrasno-azize-sacirbegovic-50-56-m2/,MY SPACE/ Stan/ Hrasno/ Azize Sacirbegovic/ 50(56) m2,117.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.849426,18.379596&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31254258/my-space-stan-ilidza-luzani-ramiza-jasara-69-m2/,MY SPACE/ Stan/ Ilidza/ Luzani/ Ramiza Jasara/ 69 m2,130.000 KM,Ilidža,"https://maps.google.com/maps?ll=43.829061,18.298312&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30288201/my-space-stan-dolac-malta-malta-50-06-m2/,MY SPACE/ Stan/ Dolac Malta/ Malta/ 50.06 m2,114.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.85283,18.377429&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/25762208/my-space-stan-centar-senoina-renoviran-79-m2/,MY SPACE/ Stan/ Centar/ Senoina/ RENOVIRAN/ 79 m2,220.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.858146,18.419208&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31044189/my-space-stan-marijin-dvor-renoviran-71-80-m2/,MY SPACE/ Stan/ Marijin Dvor/ RENOVIRAN/ 71(80) m2,150.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.859972,18.408077&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30120577/sigenx-prodaje-dvosoban-stan-cengic-vila-gradacacka/,Sigenx prodaje :Dvosoban stan/Čengić Vila /Gradačačka,85.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.848253,18.3713&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31513174/sigenx-prodaje-kovacici-troiposoban-stan-83m2/,SIGENX prodaje: Kovačići / troiposoban stan 83m2,210.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.852297,18.404794&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/27323149/nova-cijena-stan-centar-breka-104m2/,NOVA CIJENA Stan Centar Breka 104m2,214.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.872889,18.419578&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/28155335/stan-centar-marijin-dvor-103m2/,Stan Centar Marijin Dvor 103m2,327.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.856746,18.407798&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/27984843/cetverosoban-stan-centar-titova-125m2/,Cetverosoban Stan Centar Titova 125m2,292.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.858711,18.420903&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29460889/stan-centar-senoina-79-m2/,Stan Centar Senoina 79 m2,225.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.858053,18.41931&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/27733445/stan-otoka-novogradnja-85m2/,Stan / Otoka / Novogradnja / 85m2,320.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.84951,18.365496&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29471074/stan-novi-grad-otoka-89m2/,Stan Novi Grad Otoka 89m2,150.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.847063,18.364539&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/29525938/stan-centar-danijela-ozme-66m2/,Stan Centar Danijela Ozme 66m2,220.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.859523,18.413033&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/27744494/stan-novogradnja-nova-otoka-50m2/,Stan / Novogradnja / NOVA OTOKA / 50m2,149.000 KM,"Sarajevo, Novi Grad","https://maps.google.com/maps?ll=43.849672,18.362824&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30327957/stan-trosoban-stari-grad-bistrik-69m2/,Stan Trosoban Stari Grad Bistrik 69m2,230.000 KM,Stari Grad,"https://maps.google.com/maps?ll=43.856271,18.433707&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30317608/stan-centar-marijin-dvor-95m2-cijena-285-000-km/,Stan Centar Marijin Dvor 95m2 Cijena 285.000 KM,285.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.859276,18.407712&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30499914/stan-grbavica-85m2/,Stan Grbavica 85m2,196.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.848884,18.40071&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31509519/my-space-stan-dolac-malta-envera-sehovica-92-m2/,MY SPACE/ Stan/ Dolac Malta/ Envera Sehovica/ 92 m2,187.000 KM,Novo Sarajevo,"https://maps.google.com/maps?ll=43.853255,18.381366&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31258681/trosoban-stan-vogosca-82-m2/,Trosoban stan / Vogošća/ 82 m2,145.000 KM,Vogošća,"https://maps.google.com/maps?ll=43.900636,18.338146&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31508666/stan-sarajevo/,Stan Sarajevo,185.000 KM,Sarajevo - Centar,"https://maps.google.com/maps?ll=43.86845,18.423376&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/31290102/dvosoban-stan-stup-naselje-bulevar-51m2/,"Dvosoban stan, Stup, naselje Bulevar, 51m2",102.380 KM,Ilidža,"https://maps.google.com/maps?ll=43.839703,18.321326&z=16&hl=en-US&gl=US&mapclient=apiv3"
https://www.olx.ba/artikal/30857099/saray-residence-stup-cetverosoban-stan/,SARAY RESIDENCE STUP - ČETVEROSOBAN STAN,121.500 KM,Ilidža,"https://maps.google.com/maps?ll=43.843618,18.319588&z=16&hl=en-US&gl=US&mapclient=apiv3"
